300	              aortic	1	0.0005
301	              estaba	1	0.0005
302	             primary	1	0.0005
303	                 few	1	0.0005
304	          consultado	1	0.0005
305	            возрасте	1	0.0005
306	            birthday	1	0.0005
307	                 own	1	0.0005
308	           generated	1	0.0005
309	            realized	1	0.0005
310	              marido	1	0.0005
311	            securing	1	0.0005
312	         established	1	0.0005
313	              booked	1	0.0005
314	                bill	1	0.0005
315	              closed	1	0.0005
316	                июля	1	0.0005
317	               thing	1	0.0005
318	            margaret	1	0.0005
319	               books	1	0.0005
320	             погибла	1	0.0005
321	               thank	1	0.0005
322	           following	1	0.0005
323	               центр	1	0.0005
324	              groups	1	0.0005
325	              verano	1	0.0005
326	              guerra	1	0.0005
327	            помолвка	1	0.0005
328	            iniciaba	1	0.0005
329	               regal	1	0.0005
330	                 our	1	0.0005
331	          elementary	1	0.0005
332	              anyway	1	0.0005
333	             quickly	1	0.0005
334	                 iii	1	0.0005
335	              premio	1	0.0005
336	                vice	1	0.0005
337	             permiso	1	0.0005
338	             февраля	1	0.0005
339	            больницу	1	0.0005
340	               drive	1	0.0005
341	             started	1	0.0005
342	              seeing	1	0.0005
343	            больница	1	0.0005
344	         referencias	1	0.0005
345	           последний	1	0.0005
346	                help	1	0.0005
347	              houses	1	0.0005
348	              дороти	1	0.0005
349	                same	1	0.0005
350	             провела	1	0.0005
351	               линии	1	0.0005
352	                 far	1	0.0005
353	            flushing	1	0.0005
354	           attention	1	0.0005
355	             company	1	0.0005
356	                 age	1	0.0005
357	                стал	1	0.0005
358	            together	1	0.0005
359	              cooked	1	0.0005
360	                англ	1	0.0005
361	            invasion	1	0.0005
362	          библиотека	1	0.0005
363	             whether	1	0.0005
364	               junio	1	0.0005
365	             entered	1	0.0005
366	            родилась	1	0.0005
367	              queens	1	0.0005
368	     underprivileged	1	0.0005
369	                name	1	0.0005
370	               ellos	1	0.0005
371	              pronto	1	0.0005
372	                фонд	1	0.0005
373	            possible	1	0.0005
374	                bags	1	0.0005
375	             waiting	1	0.0005
376	           президент	1	0.0005
377	           окончания	1	0.0005
378	               twice	1	0.0005
379	              second	1	0.0005
380	           recipient	1	0.0005
381	               never	1	0.0005
382	            slightly	1	0.0005
383	             pageant	1	0.0005
384	              alfred	1	0.0005
385	            february	1	0.0005
386	            ganadora	1	0.0005
387	           including	1	0.0005
388	               sarah	1	0.0005
389	            princess	1	0.0005
390	           terrorist	1	0.0005
391	               happy	1	0.0005
392	               dejar	1	0.0005
393	                used	1	0.0005
394	               heads	1	0.0005
395	                said	1	0.0005
396	            операцию	1	0.0005
397	               visit	1	0.0005
398	             classic	1	0.0005
399	               speak	1	0.0005
400	                good	1	0.0005
401	               owned	1	0.0005
402	              сердце	1	0.0005
403	                 них	1	0.0005
404	               south	1	0.0005
405	             suppose	1	0.0005
406	           госпитале	1	0.0005
407	                 did	1	0.0005
408	            tuvieron	1	0.0005
409	   шестнадцатилетнем	1	0.0005
410	          particular	1	0.0005
411	              father	1	0.0005
412	               causa	1	0.0005
413	                 род	1	0.0005
414	                dime	1	0.0005
415	                gone	1	0.0005
416	             driving	1	0.0005
417	            surgeons	1	0.0005
418	              уходом	1	0.0005
419	               бушем	1	0.0005
420	           известным	1	0.0005
421	             leaders	1	0.0005
422	                 one	1	0.0005
423	         actualmente	1	0.0005
424	              league	1	0.0005
425	                 abc	1	0.0005
426	               issue	1	0.0005
427	           scheduled	1	0.0005
428	                june	1	0.0005
429	                отец	1	0.0005
430	              квинсе	1	0.0005
431	                años	1	0.0005
432	          introduced	1	0.0005
433	              nacida	1	0.0005
434	             familia	1	0.0005
435	              ранней	1	0.0005
436	                году	1	0.0005
437	             johnson	1	0.0005
438	          residencia	1	0.0005
439	               leave	1	0.0005
440	               школа	1	0.0005
441	          despliegue	1	0.0005
442	             working	1	0.0005
443	               under	1	0.0005
444	             remarks	1	0.0005
445	             charity	1	0.0005
446	         christening	1	0.0005
447	            успешную	1	0.0005
448	              службы	1	0.0005
449	благотворительностью	1	0.0005
450	                mean	1	0.0005
451	                   х	1	0.0005
452	                tras	1	0.0005
453	               куинс	1	0.0005
454	                   у	1	0.0005
455	           pettiness	1	0.0005
456	          collection	1	0.0005
457	                soon	1	0.0005
458	            material	1	0.0005
459	              arenas	1	0.0005
460	             carrera	1	0.0005
461	           hurricane	1	0.0005
462	                mayo	1	0.0005
463	                вики	1	0.0005
464	           treatment	1	0.0005
465	             offense	1	0.0005
466	           perfectly	1	0.0005
467	               имени	1	0.0005
468	         образования	1	0.0005
469	               larry	1	0.0005
470	             pauline	1	0.0005
471	             program	1	0.0005
472	              recent	1	0.0005
473	              orated	1	0.0005
474	             segunda	1	0.0005
475	               drove	1	0.0005
476	                noon	1	0.0005
477	             авиации	1	0.0005
478	           начальных	1	0.0005
